Address	Function	Instruction
.text:00000001415E0DF4	sub_1415E0D90	                lea     rdx, off_149E51470 ; "Attempting to load a payload via the pa"...
.text:00000001415E0FE9	sub_1415E0D90	                lea     rdx, off_149E51518 ; "Could not find the payload '%s' in the "...
.text:00000001415E1193	sub_1415E1130	                lea     rdx, off_149E51740 ; "Attempting to load payload from the sid"...
.text:00000001415E15AB	sub_1415E1400	                lea     rdx, off_149E516D0 ; "Could not find the payload '%s' in '%s'"
.text:00000001415E2849	sub_1415E27B0	                lea     rdx, off_149E51998 ; "Failed to pull payload '%s'%s"
.text:00000001415E2902	sub_1415E27B0	                lea     rdx, off_149E519F8 ; "Failed to pull payload '%s' as the virt"...
.text:0000000141BFB2BA	sub_141BFB140	                lea     rdx, off_149F28350 ; "Empty payload"
.text:0000000141BFB33B	sub_141BFB140	                lea     rdx, off_149F28390 ; "Unable to read full payload"
.text:0000000141BFB375	sub_141BFB140	                lea     rdx, off_149F283E8 ; "Payload Crc failure."
.text:0000000141C027F3	sub_141C022B0	                lea     rdx, off_149F29F50 ; "Failed to send payload."
.text:0000000141C24573	sub_141C24540	                lea     rdx, off_149F33420 ; "Payload is incomplete. Response still p"...
.text:0000000141C2AC77	sub_141C2AC00	                lea     rdx, off_149F36270 ; "FRequestPayloadInFileStream::Open Faile"...
.text:0000000141C30AC5	sub_141C309C0	                lea     rdx, off_149F32C70 ; "%p: Payload size=%llu"
.text:0000000141C387E4	sub_141C384E0	                lea     r8, aMaximumpayload ; "MaximumPayloadSize"
.text:0000000141C3C361	sub_141C3C050	                lea     rdx, off_149F3A008 ; "EventCache payload exceeded the maximum"...
.text:0000000141F2B468	sub_141F2B450	                lea     r8, aChaosvdaabbtre_0 ; "ChaosVDAABBTreePayloadBoundsElement"
.text:000000014247DB08	sub_14247DAF0	                lea     r8, aUniversalobjec_1 ; "UniversalObjectLocatorEmptyPayload"
.text:0000000142482334	sub_142481F10	                lea     r8, aUniversalobjec_1 ; "UniversalObjectLocatorEmptyPayload"
.text:0000000142482E1B	sub_142482C40	                lea     rdx, aPayloadI  ; "payload%i="
.text:0000000142482F3A	sub_142482EC0	                lea     r9, aUnableToParseA ; "Unable to parse a payload for an uninit"...
.text:00000001424830D7	sub_142482EC0	                lea     r9, aUnableToParseA_0 ; "Unable to parse a payload for a fragmen"...
.text:0000000142483BA5	sub_142483550	                movups  xmm1, xmmword ptr cs:off_149FF2D78 ; "payload"
.text:0000000142483E82	sub_142483550	                lea     rdx, aErrorInvalidpa ; "Error_InvalidPayload"
.text:0000000142483EA6	sub_142483550	                lea     r9, aPayloadIsInval ; "Payload is invalid for fragment type {0"...
.text:00000001425F2D6A	sub_1425F2750	                lea     rdx, off_14A19E218 ; "Index FPakEntry does not match Payload "...
.text:000000014263214B	sub_142631F10	                lea     rdx, aPayloadInt32DD ; "\r\n\t\t\tPayload [ int32]: %d %d %d %d"
.text:00000001426321A6	sub_142631F10	                lea     rdx, aPayloadUint32U ; "\r\n\t\t\tPayload [uint32]: %u %u %u %u"
.text:0000000142632201	sub_142631F10	                lea     rdx, aPayloadHex0x08 ; "\r\n\t\t\tPayload [   hex]: 0x%08X 0x%0"...
.text:000000014263227C	sub_142631F10	                lea     rdx, aPayloadFloatFF ; "\r\n\t\t\tPayload [ float]: %f %f %f %f"
.text:0000000142740B01	sub_142740670	                lea     rax, aInstancepayloa ; "InstancePayloadUploadBuffer"
.text:0000000142741239	sub_142740E10	                lea     rax, aInstancepayloa ; "InstancePayloadUploadBuffer"
