// Dump around 0x14aa42318 (target ServerAcknowledgePossession entry)
// Each line = qword + resolved name + (string content if applicable)

     0x14aa41dc0  qword=0x1443f9ab0  sub_1443F9AB0  "H"
     0x14aa41dc8  qword=0x14aa4b078  aClientmuteplay_0  "ClientMutePlayer"
     0x14aa41dd0  qword=0x1443f9b40  sub_1443F9B40  "H"
     0x14aa41dd8  qword=0x14aa4b258  aClientplayforc_0  "ClientPlayForceFeedback_Internal"
     0x14aa41de0  qword=0x1443f9ba0  sub_1443F9BA0  "H"
     0x14aa41de8  qword=0x14aa4b3e8  aClientplaysoun_1  "ClientPlaySound"
     0x14aa41df0  qword=0x1443f9c00  sub_1443F9C00  "H"
     0x14aa41df8  qword=0x14aa4b5f8  aClientplaysoun_2  "ClientPlaySoundAtLocation"
     0x14aa41e00  qword=0x1443f9c90  sub_1443F9C90  "H"
     0x14aa41e08  qword=0x14aa4b818  aClientpreparem_0  "ClientPrepareMapChange"
     0x14aa41e10  qword=0x1443f9d20  sub_1443F9D20  "H"
     0x14aa41e18  qword=0x14aa4ba28  aClientprestrea_0  "ClientPrestreamTextures"
     0x14aa41e20  qword=0x1443f9e60  sub_1443F9E60  "H"
     0x14aa41e28  qword=0x14aa4bd10  aClientreceivel_1  "ClientReceiveLocalizedMessage"
     0x14aa41e30  qword=0x1443f9ef0  sub_1443F9EF0  "H"
     0x14aa41e38  qword=0x14aa4be38  aClientrepobjre_0  "ClientRepObjRef"
     0x14aa41e40  qword=0x1443f9f50  sub_1443F9F50  "H"
     0x14aa41e48  qword=0x14aa4bea0  aClientreset_0  "ClientReset"
     0x14aa41e50  qword=0x1443f9f80  sub_1443F9F80  "H"
     0x14aa41e58  qword=0x14aa4bf70  aClientrestart_0  "ClientRestart"
     0x14aa41e60  qword=0x1443f9fe0  sub_1443F9FE0  "H"
     0x14aa41e68  qword=0x14aa4c078  aClientretrycli_1  "ClientRetryClientRestart"
     0x14aa41e70  qword=0x1443fa040  sub_1443FA040  "H"
     0x14aa41e78  qword=0x14aa4c230  aClientreturnto_0  "ClientReturnToMainMenuWithTextReason"
     0x14aa41e80  qword=0x1443fa0a0  sub_1443FA0A0  "H"
     0x14aa41e88  qword=0x14aa4c338  aClientsetblock_0  "ClientSetBlockOnAsyncLoading"
     0x14aa41e90  qword=0x1443fa1e0  sub_1443FA1E0  "H"
     0x14aa41e98  qword=0x14aa4c590  aClientsetcamer_1  "ClientSetCameraFade"
     0x14aa41ea0  qword=0x1443fa240  sub_1443FA240  "H"
     0x14aa41ea8  qword=0x14aa4c6a8  aClientsetcamer_2  "ClientSetCameraMode"
     0x14aa41eb0  qword=0x1443fa2a0  sub_1443FA2A0  "H"
     0x14aa41eb8  qword=0x14aa4c948  aClientsetcinem_0  "ClientSetCinematicMode"
     0x14aa41ec0  qword=0x1443fa530  sub_1443FA530  "H"
     0x14aa41ec8  qword=0x14aa4cb78  aClientsetforce_0  "ClientSetForceMipLevelsToBeResident"
     0x14aa41ed0  qword=0x1443fa640  sub_1443FA640  "H"
     0x14aa41ed8  qword=0x14aa4cd80  aClientsethud_0  "ClientSetHUD"
     0x14aa41ee0  qword=0x1443fa700  sub_1443FA700  "H"
     0x14aa41ee8  qword=0x14aa4cea8  aClientsetspect_0  "ClientSetSpectatorWaiting"
     0x14aa41ef0  qword=0x1443fa7b0  sub_1443FA7B0  "H"
     0x14aa41ef8  qword=0x14aa4d450  aClientsetupnet_0  "ClientSetupNetworkPhysicsTimestamp"
     0x14aa41f00  qword=0x1443f6330  sub_1443F6330  "H"
     0x14aa41f08  qword=0x14aa3c548  aClientsetviewt_0  "ClientSetViewTarget"
     0x14aa41f10  qword=0x1443f6360  sub_1443F6360  "H"
     0x14aa41f18  qword=0x14aa3c7f0  aClientspawncam_0  "ClientSpawnCameraLensEffect"
     0x14aa41f20  qword=0x1443f63c0  sub_1443F63C0  "H"
