Address	Function	Instruction
.text:000000014106A406	sub_14106A400	                lea     rdx, aInitializechar ; "InitializeCharacterSelectBP"
.text:000000014106A486	sub_14106A480	                lea     rdx, aOnresolvedcrea ; "OnResolvedCreateCharacterRequest"
.text:000000014106B476	sub_14106B450	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:000000014106B896	sub_14106B870	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:000000014106D4F6	sub_14106D4D0	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:000000014106D916	sub_14106D8F0	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:000000014106F6A6	sub_14106F680	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:000000014106FAC6	sub_14106FAA0	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:0000000141071B36	sub_141071B10	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:0000000141071F56	sub_141071F30	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:0000000141073E66	sub_141073E40	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:0000000141074286	sub_141074260	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:0000000141076176	sub_141076150	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:0000000141076596	sub_141076570	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:00000001410782D6	sub_1410782B0	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:00000001410786F6	sub_1410786D0	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:000000014107A606	sub_14107A5E0	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:000000014107AA26	sub_14107AA00	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:000000014107D466	sub_14107D440	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:000000014107D886	sub_14107D860	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:000000014107FFA6	sub_14107FF80	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:00000001410803C6	sub_1410803A0	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:00000001410823C6	sub_1410823A0	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:00000001410827E6	sub_1410827C0	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:00000001410848A6	sub_141084880	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:0000000141084CC6	sub_141084CA0	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:0000000141087B26	sub_141087B00	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:0000000141087F46	sub_141087F20	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:0000000141089D36	sub_141089D10	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:000000014108A156	sub_14108A130	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:000000014108C296	sub_14108C270	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:000000014108C6B6	sub_14108C690	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:000000014108E446	sub_14108E420	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:000000014108E866	sub_14108E840	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:0000000141090456	sub_141090430	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:0000000141090876	sub_141090850	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:0000000141093C06	sub_141093BE0	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:0000000141094026	sub_141094000	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:0000000141096046	sub_141096020	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:0000000141096466	sub_141096440	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:0000000141097776	sub_141097750	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:0000000141097B96	sub_141097B70	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:0000000141099B56	sub_141099B30	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:0000000141099F76	sub_141099F50	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:000000014109BF56	sub_14109BF30	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:000000014109C376	sub_14109C350	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:000000014109D2A6	sub_14109D280	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:000000014109D6C6	sub_14109D6A0	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:000000014109F826	sub_14109F800	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:000000014109FC46	sub_14109FC20	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:00000001410A1A66	sub_1410A1A40	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:00000001410A1E86	sub_1410A1E60	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:00000001410A3CB6	sub_1410A3C90	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:00000001410A40D6	sub_1410A40B0	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:00000001410A5FB6	sub_1410A5F90	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:00000001410A63D6	sub_1410A63B0	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:00000001410A8196	sub_1410A8170	                lea     r9, aSayOutOfCharac ; "say (out of character)"
