Address	Function	Instruction
.text:0000000146A8D5A8	sub_146A8D2C0	                lea     rdx, off_14B8FE468 ; "AAoCPlayerController::BeginPlay-> Unabl"...

.text:0000000146A8D967	sub_146A8D2C0	                lea     rcx, aAaocplayercont_15 ; "&AAoCPlayerController::OnUpdateBaseChar"...

.text:0000000146A8DA0A	sub_146A8D2C0	                lea     rcx, aAaocplayercont_15 ; "&AAoCPlayerController::OnUpdateBaseChar"...

.text:0000000146A8E121	sub_146A8D2C0	                lea     rcx, aAaocplayercont_16 ; "&AAoCPlayerController::OnPlayerLeftGrou"...

.text:0000000146A8E1A9	sub_146A8D2C0	                lea     rdi, aAaocplayercont_17 ; "AAoCPlayerController::BeginPlay"

.text:0000000146A8E33A	sub_146A8D2C0	                lea     r9, aAaocplayercont_18 ; "AAoCPlayerController::BeginPlay: Loggin"...

.text:0000000146A8E4CB	sub_146A8E400	                lea     rcx, aAaocplayercont_19 ; "&AAoCPlayerController::OnPlayerInventor"...

.text:0000000146A8E563	sub_146A8E400	                lea     rcx, aAaocplayercont_19 ; "&AAoCPlayerController::OnPlayerInventor"...

.text:0000000146A8E625	sub_146A8E400	                lea     rcx, aAaocplayercont_19 ; "&AAoCPlayerController::OnPlayerInventor"...

.text:0000000146A8E6BE	sub_146A8E400	                lea     rcx, aAaocplayercont_19 ; "&AAoCPlayerController::OnPlayerInventor"...

.text:0000000146A8E76F	sub_146A8E400	                lea     rcx, aAaocplayercont_19 ; "&AAoCPlayerController::OnPlayerInventor"...

.text:0000000146A8E803	sub_146A8E400	                lea     rcx, aAaocplayercont_19 ; "&AAoCPlayerController::OnPlayerInventor"...

.text:0000000146A8E8B2	sub_146A8E400	                lea     rcx, aAaocplayercont_19 ; "&AAoCPlayerController::OnPlayerInventor"...

.text:0000000146A8E953	sub_146A8E400	                lea     rcx, aAaocplayercont_19 ; "&AAoCPlayerController::OnPlayerInventor"...

.text:0000000146A8E9F2	sub_146A8E400	                lea     rcx, aAaocplayercont_19 ; "&AAoCPlayerController::OnPlayerInventor"...

.text:0000000146A8EA93	sub_146A8E400	                lea     rcx, aAaocplayercont_19 ; "&AAoCPlayerController::OnPlayerInventor"...

.text:0000000146A8F38B	sub_146A8F240	                lea     rax, aAaocplayercont_20 ; "AAoCPlayerController::CalculateDeployab"...

.text:0000000146A8F3F7	sub_146A8F240	                lea     rax, aAaocplayercont_20 ; "AAoCPlayerController::CalculateDeployab"...

.text:0000000146A8F487	sub_146A8F240	                lea     rax, aAaocplayercont_20 ; "AAoCPlayerController::CalculateDeployab"...

.text:0000000146A8FEAF	sub_146A8FC60	                lea     rdx, off_14B8FF658 ; "AAoCPlayerController::GetScreenLocation"...

.text:0000000146A8FEC1	sub_146A8FC60	                lea     rdx, off_14B8FF638 ; "AAoCPlayerController::GetScreenLocation"...

.text:0000000146A9216D	sub_146A92000	                lea     rdx, off_14B90C4B8 ; "AAoCPlayerController::CanInteractWithFo"...

.text:0000000146A92686	sub_146A92000	                lea     rdx, off_14B90C610 ; "AAoCPlayerController::CanInteractWithFo"...

.text:0000000146A93844	sub_146A93820	                lea     rdx, off_14B9086D8 ; "AAoCPlayerController::CancelPendingStor"...

.text:0000000146A94610	sub_146A93F00	                lea     rcx, aAaocplayercont_21 ; "AAoCPlayerController::CheckForStabledVe"...

.text:0000000146A94F3F	sub_146A94DF0	                lea     rdx, off_14B8FFC88 ; "AAoCPlayerController::CleanUpTargetSlot"...

.text:0000000146A94F7A	sub_146A94DF0	                lea     rdx, off_14B8FFCA8 ; "AAoCPlayerController::CleanUpTargetSlot"...

.text:0000000146A95042	sub_146A94DF0	                lea     rdx, off_14B8FFA08 ; "AAoCPlayerController::CleanUpTargetSlot"...

.text:0000000146A95100	sub_146A94DF0	                lea     rdx, off_14B8FFAE8 ; "AAoCPlayerController::CleanUpTargetSlot"...

.text:0000000146A95177	sub_146A94DF0	                lea     rdx, off_14B8FFBC8 ; "AAoCPlayerController::CleanUpTargetSlot"...

.text:0000000146A9960E	sub_146A994C0	                lea     rdx, aAaocplayercont_22 ; "AAoCPlayerController:ClientShowSiegeLea"...

.text:0000000146A9967F	sub_146A994C0	                lea     rax, aAaocplayercont_23 ; "AAoCPlayerController::ClientHideSiegeLe"...

.text:0000000146A996DE	sub_146A994C0	                lea     rax, aAaocplayercont_23 ; "AAoCPlayerController::ClientHideSiegeLe"...

.text:0000000146A9976A	sub_146A994C0	                lea     rax, aAaocplayercont_23 ; "AAoCPlayerController::ClientHideSiegeLe"...

.text:0000000146A9D74F	sub_146A9D610	                lea     rax, aAaocplayercont_24 ; "AAoCPlayerController::ClientOpenDeploye"...

.text:0000000146A9D7AE	sub_146A9D610	                lea     rax, aAaocplayercont_24 ; "AAoCPlayerController::ClientOpenDeploye"...

