+0x00598  0x14a59678c  "Cursor"  (qword at 0x14aa3e8b0)
+0x03c50  0x14aa3d648  "ClientStopCameraShake"  (qword at 0x14aa41f68)
+0x03c60  0x14aa3d750  "ClientStopCameraShakesFromSource"  (qword at 0x14aa41f78)
+0x03c70  0x14aa3d968  "ClientStopForceFeedback"  (qword at 0x14aa41f88)
+0x03c80  0x14aa3dbd8  "ClientTeamMessage"  (qword at 0x14aa41f98)
+0x03c90  0x14aa3df20  "ClientTravel"  (qword at 0x14aa41fa8)
+0x03ca0  0x14aa3e278  "ClientTravelInternal"  (qword at 0x14aa41fb8)
+0x03cb0  0x14aa3e3d8  "ClientUnmutePlayer"  (qword at 0x14aa41fc8)
+0x03cc0  0x14aa3fbc8  "ClientUnmutePlayers"  (qword at 0x14aa41fd8)
+0x03cd0  0x14aa3ffa0  "ClientUpdateLevelStreamingStatus"  (qword at 0x14aa41fe8)
+0x03ce0  0x14aa42aa0  "ClientUpdateMultipleLevelsStreamingStatus"  (qword at 0x14aa41ff8)
+0x03cf0  0x14aa43208  "ClientUpdateMultipleLevelsStreamingStatusCompressed"  (qword at 0x14aa42008)
+0x03d00  0x14aa43410  "ClientVoiceHandshakeComplete"  (qword at 0x14aa42018)
+0x03d10  0x14aa43728  "ClientWasKicked"  (qword at 0x14aa42028)
+0x03d20  0x14aa43970  "ConsoleKey"  (qword at 0x14aa42038)
+0x03ff0  0x14aa4b090  "SendToConsole"  (qword at 0x14aa42308)
+0x04000  0x14aa4b178  "ServerAcknowledgePossession"  (qword at 0x14aa42318)
+0x04010  0x14aa4b2c8  "ServerBlockPlayer"  (qword at 0x14aa42328)
+0x04020  0x14aa4b438  "ServerCamera"  (qword at 0x14aa42338)
+0x04030  0x14aa4b618  "ServerChangeName"  (qword at 0x14aa42348)
+0x04040  0x14aa4b780  "ServerCheckClientPossession"  (qword at 0x14aa42358)
+0x04050  0x14aa4b830  "ServerCheckClientPossessionReliable"  (qword at 0x14aa42368)
+0x04060  0x14aa4b948  "ServerExec"  (qword at 0x14aa42378)
+0x04070  0x14aa4ba80  "ServerExecRPC"  (qword at 0x14aa42388)
+0x04080  0x14aa4bc10  "ServerMutePlayer"  (qword at 0x14aa42398)
+0x04090  0x14aa4bd88  "ServerNotifyLoadedWorld"  (qword at 0x14aa423a8)
+0x040a0  0x14aa4be28  "ServerPause"  (qword at 0x14aa423b8)
+0x040b0  0x14aa4be88  "ServerRestartPlayer"  (qword at 0x14aa423c8)
+0x040c0  0x14aa4bfc8  "ServerSendLatestAsyncPhysicsTimestamp"  (qword at 0x14aa423d8)
+0x040d0  0x14aa4c1c0  "ServerSetSpectatorLocation"  (qword at 0x14aa423e8)
+0x040e0  0x14aa4c318  "ServerSetSpectatorWaiting"  (qword at 0x14aa423f8)
+0x040f0  0x14aa4c3a8  "ServerShortTimeout"  (qword at 0x14aa42408)
+0x04100  0x14a7fc018  "ServerToggleAILogging"  (qword at 0x14aa42418)
+0x04110  0x14aa4c618  "ServerUnblockPlayer"  (qword at 0x14aa42428)
+0x04120  0x14aa4c768  "ServerUnmutePlayer"  (qword at 0x14aa42438)
+0x04130  0x14aa4c978  "ServerUpdateCamera"  (qword at 0x14aa42448)
+0x04140  0x14aa4cb58  "ServerUpdateLevelVisibility"  (qword at 0x14aa42458)
+0x04150  0x14aa3cc88  "ServerUpdateMultipleLevelsVisibility"  (qword at 0x14aa42468)
+0x04160  0x14aa3cff8  "ServerVerifyViewTarget"  (qword at 0x14aa42478)
+0x04170  0x14aa3d1a8  "ServerViewNextPlayer"  (qword at 0x14aa42488)
+0x04180  0x14aa3d208  "ServerViewPrevPlayer"  (qword at 0x14aa42498)
+0x04190  0x14aa3d350  "ServerViewSelf"  (qword at 0x14aa424a8)
+0x041a0  0x14aa3d4a0  "SetAudioListenerAttenuationOverride"  (qword at 0x14aa424b8)
+0x041b0  0x14aa3d660  "SetAudioListenerOverride"  (qword at 0x14aa424c8)
+0x041c0  0x14a9979b8  "SetCinematicMode"  (qword at 0x14aa424d8)
+0x041d0  0x14aa3da90  "SetControllerDeadZones"  (qword at 0x14aa424e8)
+0x041e0  0x14aa3dcb0  "SetControllerGyroAutoCalibration"  (qword at 0x14aa424f8)
+0x041f0  0x14aa3dee8  "SetControllerLightColor"  (qword at 0x14aa42508)
+0x04200  0x14aa3e0a0  "SetControllerTriggerReleaseThresholds"  (qword at 0x14aa42518)
+0x04210  0x14aa3e258  "SetDeprecatedInputPitchScale"  (qword at 0x14aa42528)
+0x04220  0x14aa3e328  "SetDeprecatedInputRollScale"  (qword at 0x14aa42538)
+0x04230  0x14aa3e3f0  "SetDeprecatedInputYawScale"  (qword at 0x14aa42548)
+0x04240  0x14aa3e468  "SetDisableHaptics"  (qword at 0x14aa42558)
+0x04250  0x14aa3e590  "SetHapticsByValue"  (qword at 0x14aa42568)
+0x04260  0x14aa3e5f8  "SetMotionControlsEnabled"  (qword at 0x14aa42578)
+0x04270  0x14aa3f000  "SetMouseCursorWidget"  (qword at 0x14aa42588)
+0x04280  0x14aa3f550  "SetMouseLocation"  (qword at 0x14aa42598)
+0x04290  0x14aa3f5a8  "SetName"  (qword at 0x14aa425a8)
+0x042a0  0x14aa3f748  "SetViewTargetWithBlend"  (qword at 0x14aa425b8)
+0x042b0  0x14aa3f850  "SetVirtualJoystickVisibility"  (qword at 0x14aa425c8)
+0x042c0  0x14aa3f8f8  "StartFire"  (qword at 0x14aa425d8)
+0x042d0  0x14aa3fbb0  "StopHapticEffect"  (qword at 0x14aa425e8)
+0x042e0  0x14aa3fcf0  "StreamingSourceShouldActivate"  (qword at 0x14aa425f8)
+0x042f0  0x14aa3ff58  "StreamingSourceShouldBlockOnSlowStreaming"  (qword at 0x14aa42608)
+0x04300  0x14aa40008  "SwitchLevel"  (qword at 0x14aa42618)
+0x057b8  0x14a9177f0  "ScreenX"  (qword at 0x14aa43ad0)
+0x057f0  0x14a9177f8  "ScreenY"  (qword at 0x14aa43b08)
